player,pos,g,gs,mpg,pts,reb,ast,stl,blk,tov,fg3p,efg,ts,usg,bpm,vorp
Amen Thompson,PG,79,79,37.4,18.3,7.8,5.3,1.5,0.6,2.4,0.216,0.545,0.594,20.0,2.6,3.4
Kevin Durant,SF,78,78,36.4,26.0,5.5,4.8,0.8,0.9,3.2,0.413,0.588,0.641,27.1,4.5,4.7
Jabari Smith Jr.,PF,77,77,35.1,15.8,6.9,1.9,0.7,0.9,1.4,0.363,0.541,0.570,18.2,-0.7,0.9
Alperen Sengun,C,72,72,33.3,20.4,8.9,6.2,1.2,1.1,3.2,0.305,0.537,0.569,26.6,4.2,3.7
Reed Sheppard,SG,82,21,26.2,13.5,2.9,3.4,1.5,0.7,1.5,0.394,0.550,0.564,21.7,2.7,2.5
Tari Eason,PF,60,34,25.8,10.5,6.3,1.5,1.2,0.5,1.4,0.358,0.496,0.514,18.7,-1.6,0.2
Steven Adams,C,32,11,22.8,5.8,8.6,1.5,0.7,0.6,1.1,0.000,0.504,0.535,12.1,-0.5,0.3
Josh Okogie,SG,78,32,17.4,4.5,2.6,0.9,0.8,0.2,0.5,0.385,0.531,0.544,11.3,-1.2,0.3
Dorian Finney-Smith,PF,37,1,16.8,3.3,2.5,1.0,0.4,0.2,0.6,0.270,0.436,0.452,10.7,-4.3,-0.4
Aaron Holiday,PG,57,1,13.7,5.5,1.0,1.1,0.5,0.1,0.7,0.394,0.550,0.578,16.6,-2.4,-0.1
Clint Capela,C,75,3,12.3,3.8,4.6,0.7,0.5,0.8,0.5,0.500,0.522,0.540,13.7,0.4,0.6
